Designator,Mid X,Mid Y,Layer,Rotation
R29,145.83,37.10,Top,0.0
R30,145.83,35.83,Top,0.0
R31,19.43,48.54,Top,180.0
R32, 9.65,61.11,Top,0.0
R33,44.83,61.37,Top,0.0
R34,44.83,60.10,Top,0.0
R35,44.83,58.83,Top,0.0
R36,69.93,48.54,Top,180.0
R37,60.15,61.11,Top,0.0
R38,95.33,61.37,Top,0.0
R39,95.33,60.10,Top,0.0
R40,95.33,58.83,Top,0.0
R41,120.43,48.54,Top,180.0
R42,110.65,61.11,Top,0.0
R43,145.83,61.37,Top,0.0
R44,145.83,60.10,Top,0.0
R45,145.83,58.83,Top,0.0
R46,19.43,71.54,Top,180.0
R47, 9.65,84.11,Top,0.0
R48,44.83,84.37,Top,0.0
R49,44.83,83.10,Top,0.0
R50,44.83,81.83,Top,0.0
R51,69.93,71.54,Top,180.0
R52,60.15,84.11,Top,0.0
R53,95.33,84.37,Top,0.0
R54,95.33,83.10,Top,0.0
R55,95.33,81.83,Top,0.0
R56,120.43,71.54,Top,180.0
R57,110.65,84.11,Top,0.0
R58,145.83,84.37,Top,0.0
R59,145.83,83.10,Top,0.0
R60,145.83,81.83,Top,0.0
R61,19.43,94.54,Top,180.0
R62, 9.65,107.11,Top,0.0
R63,44.83,107.37,Top,0.0
R64,44.83,106.10,Top,0.0
R65,44.83,104.83,Top,0.0
R66,69.93,94.54,Top,180.0
R67,60.15,107.11,Top,0.0
R68,95.33,107.37,Top,0.0
R69,95.33,106.10,Top,0.0
R70,95.33,104.83,Top,0.0
R71,120.43,94.54,Top,180.0
R72,110.65,107.11,Top,0.0
R73,145.83,107.37,Top,0.0
R74,145.83,106.10,Top,0.0
R75,145.83,104.83,Top,0.0
R76,19.43,117.54,Top,180.0
R77, 9.65,130.11,Top,0.0
R78,44.83,130.37,Top,0.0
R79,44.83,129.10,Top,0.0
R80,44.83,127.83,Top,0.0
R81,69.93,117.54,Top,180.0
R82,60.15,130.11,Top,0.0
R83,95.33,130.37,Top,0.0
R84,95.33,129.10,Top,0.0
R85,95.33,127.83,Top,0.0
R86,120.43,117.54,Top,180.0
R87,110.65,130.11,Top,0.0
R88,145.83,130.37,Top,0.0
R89,145.83,129.10,Top,0.0
R90,145.83,127.83,Top,0.0
R91,19.43,140.54,Top,180.0
R92, 9.65,153.11,Top,0.0
R93,44.83,153.37,Top,0.0
R94,44.83,152.10,Top,0.0
R95,44.83,150.83,Top,0.0
R96,69.93,140.54,Top,180.0
R97,60.15,153.11,Top,0.0
R98,95.33,153.37,Top,0.0
R99,95.33,152.10,Top,0.0
R100,95.33,150.83,Top,0.0
R101,120.43,140.54,Top,180.0
R102,110.65,153.11,Top,0.0
R103,145.83,153.37,Top,0.0
R104,145.83,152.10,Top,0.0
R105,145.83,150.83,Top,0.0
R106,19.43,163.54,Top,180.0
R107, 9.65,176.11,Top,0.0
R108,44.83,176.37,Top,0.0
R109,44.83,175.10,Top,0.0
R110,44.83,173.83,Top,0.0
R111,69.93,163.54,Top,180.0
R112,60.15,176.11,Top,0.0
R113,95.33,176.37,Top,0.0
R114,95.33,175.10,Top,0.0
R115,95.33,173.83,Top,0.0
R116,120.43,163.54,Top,180.0
R117,110.65,176.11,Top,0.0
R118,145.83,176.37,Top,0.0
R119,145.83,175.10,Top,0.0
R120,145.83,173.83,Top,0.0
S1,19.43, 4.70,Top,180.0
S2,69.93, 4.70,Top,180.0
S3,120.43, 4.70,Top,180.0
S4,19.43,27.70,Top,180.0
S5,69.93,27.70,Top,180.0
S6,120.43,27.70,Top,180.0
S7,19.43,50.70,Top,180.0
S8,69.93,50.70,Top,180.0
S9,120.43,50.70,Top,180.0
S10,19.43,73.70,Top,180.0
S11,69.93,73.70,Top,180.0
S12,120.43,73.70,Top,180.0
S13,19.43,96.70,Top,180.0
S14,69.93,96.70,Top,180.0
S15,120.43,96.70,Top,180.0
S16,19.43,119.70,Top,180.0
S17,69.93,119.70,Top,180.0
S18,120.43,119.70,Top,180.0
S19,19.43,142.70,Top,180.0
S20,69.93,142.70,Top,180.0
S21,120.43,142.70,Top,180.0
S22,19.43,165.70,Top,180.0
S23,69.93,165.70,Top,180.0
S24,120.43,165.70,Top,180.0
TC1,30.86, 2.54,Top,180.0
TC2,81.36, 2.54,Top,180.0
TC3,131.86, 2.54,Top,180.0
TC4,30.86,25.54,Top,180.0
TC5,81.36,25.54,Top,180.0
TC6,131.86,25.54,Top,180.0
TC7,30.86,48.54,Top,180.0
TC8,81.36,48.54,Top,180.0
TC9,131.86,48.54,Top,180.0
TC10,30.86,71.54,Top,180.0
TC11,81.36,71.54,Top,180.0
TC12,131.86,71.54,Top,180.0
TC13,30.86,94.54,Top,180.0
TC14,81.36,94.54,Top,180.0
TC15,131.86,94.54,Top,180.0
TC16,30.86,117.54,Top,180.0
TC17,81.36,117.54,Top,180.0
TC18,131.86,117.54,Top,180.0
TC19,30.86,140.54,Top,180.0
TC20,81.36,140.54,Top,180.0
